No.#Date#Venue#Opponent#Score#Result#Competition
1#13 October 2005#Olimpico, Serravalle, San Marino#San Marino#3–0#4–0#2006 FIFA World Cup qualification
2#13 October 2005#Olimpico, Serravalle, San Marino#San Marino#0#4–0#2006 FIFA World Cup qualification
3#13 October 2007#Atletion, Aarhus, Denmark#Denmark#2–0#3–1#UEFA Euro 2008 qualifying
4#17 November 2007#Santiago Bernabéu, Madrid, Spain#Sweden#3–0#3–0#UEFA Euro 2008 qualifying
5#3 March 2010#Stade de France, Saint-Denis, France#France#2–0#2–0#Friendly
6#6 September 2011#Las Gaunas, Logroño, Spain#Liechtenstein#4–0#6–0#UEFA Euro 2012 qualifying
7#16 October 2012#Vicente Calderón, Madrid, Spain#France#1–0#1–1#2014 FIFA World Cup qualification
8#14 November 2012#Rommel Fernández, Panama City, Panama#Panama#4–0#5–1#Friendly
9#22 March 2013#El Molinón, Gijón, Spain#Finland#1–0#1–1#2014 FIFA World Cup qualification
10#8 September 2014#Estadi Ciutat de València, Valencia, Spain#North Macedonia#1–0#5–1#UEFA Euro 2016 qualifying
11#5 September 2017#Rheinpark Stadion, Vaduz, Liechtenstein#Liechtenstein#2–1#8–0#2018 FIFA World Cup qualification
12#14 November 2017#Krestovsky Stadium, Saint Petersburg, Russia#Russia#2–0#3–3#Friendly
13#14 November 2017#Krestovsky Stadium, Saint Petersburg, Russia#Russia#0#3–3#Friendly
14#11 September 2018#Estadio Manuel Martínez Valero, Elche, Spain#Croatia#5–0#6–0#2018–19 UEFA Nations League A
15#11 October 2018#Millennium Stadium, Cardiff, Wales#Wales#2–0#4–1#Friendly
16#15 October 2018#Estadio Benito Villamarín, Seville, Spain#England#2–3#2–3#2018–19 UEFA Nations League A
17#15 November 2018#Stadion Maksimir, Zagreb, Croatia#Croatia#2–2#2–3#2018–19 UEFA Nations League A
18#23 March 2019#Mestalla Stadium, Valencia, Spain#Norway#1–0#2–1#UEFA Euro 2020 qualifying
