Rank#Heat#Lane#Name#Nationality#Time#Notes
1#5#4#Megan Quann#United States#1:07.48#Q
2#6#4#Penny Heyns#South Africa#1:07.85#Q
3#6#3#Leisel Jones#Australia#1:07.92#Q
4#4#5#Sarah Poewe#South Africa#1:08.06#Q
5#4#3#Tarnee White#Australia#1:08.35#Q
6#5#5#Ágnes Kovács#Hungary#1:08.50#Q
7#4#4#Masami Tanaka#Japan#1:09.12#Q
8#6#6#Sylvia Gerasch#Germany#1:09.31#Q
9#4#2#Brigitte Becue#Belgium#1:09.38#Q
10#4#7#Christin Petelski#Canada#1:09.57#Q
11#5#3#Svitlana Bondarenko#Ukraine#1:09.60#Q
12#6#2#Rhiannon Leier#Canada#1:09.68#Q
13#5#6#Qi Hui#China#1:09.88#Q
14#6#7#Simone Karn#Germany#1:09.94#Q
15#5#8#Nataša Kejžar#Slovenia#1:10.44#Q, NR
16#6#8#Madelon Baans#Netherlands#1:10.47#Q
17#5#1#Olga Bakaldina#Russia#1:10.53#
18#6#5#Staciana Stitts#United States#1:10.54#
19#4#6#Li Wei#China#1:10.55#
20#5#7#Heidi Earp#Great Britain#1:10.56#
21#5#2#Alicja Pęczak#Poland#1:10.57#
22#6#1#Emma Igelström#Sweden#1:11.09#
23#2#6#İlkay Dikmen#Turkey#1:11.51#NR
24#3#4#Elvira Fischer#Austria#1:11.58#
25#4#8#Byun Hye-young#South Korea#1:11.64#
26#3#1#Isabel Ceballos#Colombia#1:11.90#NR
27#3#7#Agata Czaplicki#Switzerland#1:13.19#
28#3#5#Joscelin Yeo#Singapore#1:13.25#
29#3#3#Emma Robinson#Ireland#1:13.41#
30#3#2#Smiljana Marinović#Croatia#1:13.49#
31#3#6#Imaday Nuñez Gonzalez#Cuba#1:13.91#
32#2#4#Siow Yi Ting#Malaysia#1:13.92#
33#2#3#Íris Edda Heimisdóttir#Iceland#1:14.07#
34#2#5#Olga Moltchanova#Kyrgyzstan#1:14.41#
35#3#8#Jenny Rose Guerrero#Philippines#1:15.14#
36#2#2#Caroline Chiu Sin Wing#Hong Kong#1:15.87#
37#2#1#Katerine Moreno#Bolivia#1:16.15#NR
38#2#7#Nádia Cruz#Angola#1:19.57#
39#2#8#Xenia Peni#Papua New Guinea#1:19.62#
40#1#3#Mariam Pauline Keita#Mali#1:37.80#
41#1#5#Balkissa Ouhoumoudou#Niger#1:42.39#
042#1#4#Doli Akhter#Bangladesh#DSQ#
042#1#6#Pamela Girimbabazi#Rwanda#DSQ#
047#4#1#Junko Isoda#Japan#DNS#
